video_id,track_id,num_frames,VCL,VSL,VAP
SG240691_SESSIONE 110925,6,2,2.3144,2.3144,2.3144
SG240691_SESSIONE 110925,11,2,1.4263,1.4263,1.4263
SG240691_SESSIONE 110925,17,2,1.4982,1.4982,1.4982
SG240691_SESSIONE 110925,31,2,1.1049,1.1049,1.1049
SG230687_SESSIONE 100925,1,2,0.6008,0.6008,0.6008
SG230687_SESSIONE 100925,6,4,1.8834,0.9794,0.6729
SG230687_SESSIONE 100925,7,5,2.7451,0.9181,1.1164
SG230687_SESSIONE 100925,8,4,1.5435,1.0689,0.963
SG230687_SESSIONE 100925,9,3,1.1647,1.1139,0.5585
SG230687_SESSIONE 100925,10,4,2.3821,0.1251,0.5205
SG230687_SESSIONE 100925,15,2,1.2215,1.2215,1.2215
SG230687_SESSIONE 100925,17,2,2.0283,2.0283,2.0283
SG230687_SESSIONE 100925,25,3,0.6702,0.6691,0.3346
SG230687_SESSIONE 100925,26,4,0.6295,0.4472,0.2005
SG230687_SESSIONE 100925,28,2,1.7681,1.7681,1.7681
SG230687_SESSIONE 100925,29,3,1.1523,0.255,0.2004
SG230687_SESSIONE 100925,32,3,2.4847,0.9176,0.5915
SG230687_SESSIONE 100925,34,2,1.1479,1.1479,1.1479
SG230687_SESSIONE 100925,36,2,1.5305,1.5305,1.5305
SG230687_SESSIONE 100925,38,2,1.8028,1.8028,1.8028
SG230687_SESSIONE 100925,39,2,1.0125,1.0125,1.0125
SG230687_SESSIONE 100925,40,2,1.5876,1.5876,1.5876
SG230687_SESSIONE 100925,44,2,3.9319,3.9319,3.9319
SG230687_SESSIONE 100925,45,2,1.7365,1.7365,1.7365
SG230687_SESSIONE 100925,46,2,2.3528,2.3528,2.3528
SG230687_SESSIONE 100925,47,2,1.1912,1.1912,1.1912
SG230687_SESSIONE 100925,51,2,2.6924,2.6924,2.6924
SG230687_SESSIONE 100925,52,2,2.3412,2.3412,2.3412
SG230687_SESSIONE 100925,55,2,1.0878,1.0878,1.0878
SG091095_SESSIONE 100925,0,2,1.5075,1.5075,1.5075
SG091095_SESSIONE 100925,1,5,0.9069,0.7936,0.5013
SG091095_SESSIONE 100925,2,5,1.6175,0.4331,0.7548
SG091095_SESSIONE 100925,7,2,2.1289,2.1289,2.1289
SG091095_SESSIONE 100925,10,2,2.0909,2.0909,2.0909
SG091095_SESSIONE 100925,11,5,1.2091,0.9871,0.7572
SG091095_SESSIONE 100925,12,3,1.6845,1.6466,0.825
SG091095_SESSIONE 100925,13,3,1.7345,0.9679,0.5063
SG091095_SESSIONE 100925,15,4,1.1513,0.8885,0.6739
SG091095_SESSIONE 100925,17,4,1.7635,1.7255,1.102
SG091095_SESSIONE 100925,18,5,0.792,0.3452,0.3879
SG091095_SESSIONE 100925,23,2,1.3641,1.3641,1.3641
SG091095_SESSIONE 100925,24,3,1.1464,0.5778,0.3095
SG091095_SESSIONE 100925,25,2,1.4856,1.4856,1.4856
SG091095_SESSIONE 100925,26,5,1.0863,0.2912,0.4329
SG091095_SESSIONE 100925,27,2,2.6658,2.6658,2.6658
SG091095_SESSIONE 100925,28,5,1.1399,0.7295,0.6605
SG091095_SESSIONE 100925,29,2,2.981,2.981,2.981
SG091095_SESSIONE 100925,32,2,2.7001,2.7001,2.7001
SG091095_SESSIONE 100925,34,5,2.4237,1.764,1.7303
SG091095_SESSIONE 100925,37,2,0.6129,0.6129,0.6129
SG091095_SESSIONE 100925,38,3,1.6232,0.1127,0.2713
SG091095_SESSIONE 100925,40,2,1.5994,1.5994,1.5994
SG091095_SESSIONE 100925,42,3,0.5205,0.5096,0.2551
SG091095_SESSIONE 100925,43,3,0.7272,0.6482,0.328
SG091095_SESSIONE 100925,46,2,1.3509,1.3509,1.3509
SG091095_SESSIONE 100925,47,3,1.2999,0.2401,0.2254
SG091095_SESSIONE 100925,49,3,3.0401,2.6586,1.3506
SG091095_SESSIONE 100925,50,4,1.0242,0.3254,0.3109
SG091095_SESSIONE 100925,51,5,2.9172,1.8086,1.3235
SG091095_SESSIONE 100925,53,4,1.2219,0.3282,0.3045
SG091095_SESSIONE 100925,54,2,0.7584,0.7584,0.7584
SG091095_SESSIONE 100925,60,4,1.2582,0.4529,0.4755
SG091095_SESSIONE 100925,66,4,0.881,0.4167,0.4323
SG091095_SESSIONE 100925,67,3,1.3142,1.2176,0.6132
SG091095_SESSIONE 100925,68,3,0.9105,0.6453,0.3228
SG091095_SESSIONE 100925,71,2,1.4877,1.4877,1.4877
SG091095_SESSIONE 100925,72,2,0.4244,0.4244,0.4244
SG091095_SESSIONE 100925,73,3,0.291,0.2787,0.1399
SG091095_SESSIONE 100925,76,2,1.8515,1.8515,1.8515
SG091095_SESSIONE 100925,78,3,1.4224,0.9679,0.4842
SG091095_SESSIONE 100925,79,2,2.4012,2.4012,2.4012
SG091095_SESSIONE 100925,81,2,2.5869,2.5869,2.5869
SG091095_SESSIONE 100925,82,2,1.0966,1.0966,1.0966
SG091095_SESSIONE 100925,84,2,0.7242,0.7242,0.7242
SG091095_SESSIONE 100925,85,2,1.6449,1.6449,1.6449
SG091095_SESSIONE 100925,87,2,0.4958,0.4958,0.4958
SG091095_SESSIONE 100925,88,3,1.0981,0.7129,0.3805
SG091095_SESSIONE 100925,92,3,2.1926,1.8314,0.9368
SG091095_SESSIONE 100925,93,2,0.546,0.546,0.546
SG091095_SESSIONE 100925,94,3,1.1803,0.7323,0.3968
SG091095_SESSIONE 100925,97,2,1.1161,1.1161,1.1161
SG091095_SESSIONE 100925,102,2,1.1015,1.1015,1.1015
SG091095_SESSIONE 100925,105,2,1.2482,1.2482,1.2482
SG091095_SESSIONE 100925,109,2,1.2261,1.2261,1.2261
SG091095_SESSIONE 100925,112,2,1.5468,1.5468,1.5468
SG091095_SESSIONE 100925,113,2,1.0756,1.0756,1.0756
SG091095_SESSIONE 100925,116,2,0.9757,0.9757,0.9757
SG091095_SESSIONE 100925,117,2,0.6185,0.6185,0.6185
SG091095_SESSIONE 100925,121,2,1.6771,1.6771,1.6771
SG091095_SESSIONE 100925,124,2,0.8385,0.8385,0.8385
SG091095_SESSIONE 100925,126,2,1.7632,1.7632,1.7632
SG091095_SESSIONE 100925,127,2,0.7941,0.7941,0.7941
SG091095_SESSIONE 100925,128,2,1.2625,1.2625,1.2625
SF100993_SESSIONE 180925,0,2,1.1346,1.1346,1.1346
SF100993_SESSIONE 180925,1,4,1.6391,1.1864,1.071
SF100993_SESSIONE 180925,8,3,1.8738,1.5713,0.8032
SF100993_SESSIONE 180925,10,3,1.0264,0.3125,0.2256
SF100993_SESSIONE 180925,13,3,1.666,0.2742,0.2818
SF100993_SESSIONE 180925,14,2,0.5618,0.5618,0.5618
SF100993_SESSIONE 180925,18,3,0.9239,0.379,0.2288
SF100993_SESSIONE 180925,32,3,2.4384,2.4233,1.2125
SF100993_SESSIONE 180925,35,2,1.0417,1.0417,1.0417
SF100993_SESSIONE 180925,38,3,2.0134,1.3692,0.7177
SF100993_SESSIONE 180925,40,3,1.5163,1.5135,0.7569
SF100993_SESSIONE 180925,41,2,1.2582,1.2582,1.2582
SF100993_SESSIONE 180925,45,2,0.1682,0.1682,0.1682
SF100993_SESSIONE 180925,48,2,1.7979,1.7979,1.7979
SF100993_SESSIONE 180925,53,2,1.0854,1.0854,1.0854
SF100993_SESSIONE 180925,54,3,1.9144,1.6954,0.8552
SF100993_SESSIONE 180925,56,3,2.9425,2.6027,1.3197
SF100993_SESSIONE 180925,57,3,2.5951,0.6673,0.5347
SF100993_SESSIONE 180925,60,3,0.9726,0.5277,0.2715
SF100993_SESSIONE 180925,62,2,2.2655,2.2655,2.2655
SF100993_SESSIONE 180925,64,2,1.2935,1.2935,1.2935
SF100993_SESSIONE 180925,65,2,1.4801,1.4801,1.4801
SF100993_SESSIONE 180925,69,2,1.2026,1.2026,1.2026
SF100993_SESSIONE 180925,71,2,1.7504,1.7504,1.7504
SF100993_SESSIONE 180925,72,2,0.8385,0.8385,0.8385
SF100993_SESSIONE 180925,77,2,0.783,0.783,0.783
SC230304_SESSIONE 250925,3,3,1.7905,0.2767,0.3037
SC230304_SESSIONE 250925,4,3,1.7623,0.8633,0.4714
SC230304_SESSIONE 250925,8,2,0.4516,0.4516,0.4516
SC230304_SESSIONE 250925,10,2,2.1802,2.1802,2.1802
SC230304_SESSIONE 250925,21,2,0.7788,0.7788,0.7788
